,yrs.since.phd,yrs.service,salary
1,19,18,139750
2,20,16,173200
3,4,3,79750
4,45,39,115000
5,40,41,141500
6,6,6,97000
7,30,23,175000
8,45,45,147765
9,21,20,119250
10,18,18,129000
11,12,8,119800
12,7,2,79800
13,1,1,77700
14,2,0,78000
15,20,18,104800
16,12,3,117150
17,19,20,101000
18,38,34,103450
19,37,23,124750
20,39,36,137000
21,31,26,89565
22,36,31,102580
23,34,30,93904
24,24,19,113068
25,13,8,74830
26,21,8,106294
27,35,23,134885
28,5,3,82379
29,11,0,77000
30,12,8,118223
31,20,4,132261
32,7,2,79916
33,13,9,117256
34,4,2,80225
35,4,2,80225
36,5,0,77000
37,22,21,155750
38,7,4,86373
39,41,31,125196
40,9,9,100938
41,23,2,146500
42,23,23,93418
43,40,27,101299
44,38,38,231545
45,19,19,94384
46,25,15,114778
47,40,28,98193
48,23,19,151768
49,25,25,140096
50,1,1,70768
51,28,28,126621
52,12,11,108875
53,11,3,74692
54,16,9,106639
55,12,11,103760
56,14,5,83900
57,23,21,117704
58,9,8,90215
59,10,9,100135
60,8,3,75044
61,9,8,90304
62,3,2,75243
63,33,31,109785
64,11,11,103613
65,4,3,68404
66,9,8,100522
67,22,12,101000
68,35,31,99418
69,17,17,111512
70,28,36,91412
71,17,2,126320
72,45,45,146856
73,29,19,100131
74,35,34,92391
75,28,23,113398
76,8,3,73266
77,17,3,150480
78,26,19,193000
79,3,1,86100
80,6,2,84240
81,43,28,150743
82,17,16,135585
83,22,20,144640
84,6,2,88825
85,17,18,122960
86,15,14,132825
87,37,37,152708
88,2,2,88400
89,25,25,172272
90,9,7,107008
91,10,5,97032
92,10,7,105128
93,10,7,105631
94,38,38,166024
95,21,20,123683
96,4,0,84000
97,17,12,95611
98,13,7,129676
99,30,14,102235
100,41,26,106689
101,42,25,133217
102,28,23,126933
103,16,5,153303
104,20,14,127512
105,18,10,83850
106,31,28,113543
107,11,8,82099
108,10,8,82600
109,15,8,81500
110,40,31,131205
111,20,16,112429
112,19,16,82100
113,3,1,72500
114,37,37,104279
115,12,0,105000
116,21,9,120806
117,30,29,148500
118,39,36,117515
119,4,1,72500
120,5,3,73500
121,14,14,115313
122,32,32,124309
123,24,22,97262
124,25,22,62884
125,24,22,96614
126,54,49,78162
127,28,26,155500
128,2,0,72500
129,32,30,113278
130,4,2,73000
131,11,9,83001
132,56,57,76840
133,10,8,77500
134,3,1,72500
135,35,25,168635
136,20,18,136000
137,16,14,108262
138,17,14,105668
139,10,7,73877
140,21,18,152664
141,14,8,100102
142,15,10,81500
143,19,11,106608
144,3,3,89942
145,27,27,112696
146,28,28,119015
147,4,4,92000
148,27,27,156938
149,36,26,144651
150,4,3,95079
151,14,12,128148
152,4,4,92000
153,21,9,111168
154,12,10,103994
155,4,0,92000
156,21,21,118971
157,12,18,113341
158,1,0,88000
159,6,6,95408
160,15,16,137167
161,2,2,89516
162,26,19,176500
163,22,7,98510
164,3,3,89942
165,1,0,88795
166,21,8,105890
167,16,16,167284
168,18,19,130664
169,8,6,101210
170,25,18,181257
171,5,5,91227
172,19,19,151575
173,37,24,93164
174,20,20,134185
175,17,6,105000
176,28,25,111751
177,10,7,95436
178,13,9,100944
179,27,14,147349
180,3,3,92000
181,11,11,142467
182,18,5,141136
183,8,8,100000
184,26,22,150000
185,23,23,101000
186,33,30,134000
187,13,10,103750
188,18,10,107500
189,28,28,106300
190,25,19,153750
191,22,9,180000
192,43,22,133700
193,19,18,122100
194,19,19,86250
195,48,53,90000
196,9,7,113600
197,4,4,92700
198,4,4,92000
199,34,33,189409
200,38,22,114500
201,4,4,92700
202,40,40,119700
203,28,17,160400
204,17,17,152500
205,19,5,165000
206,21,2,96545
207,35,33,162200
208,18,18,120000
209,7,2,91300
210,20,20,163200
211,4,3,91000
212,39,39,111350
213,15,7,128400
214,26,19,126200
215,11,1,118700
216,16,11,145350
217,15,11,146000
218,29,22,105350
219,14,7,109650
220,13,11,119500
221,21,21,170000
222,23,10,145200
223,13,6,107150
224,34,20,129600
225,38,35,87800
226,20,20,122400
227,3,1,63900
228,9,7,70000
229,16,11,88175
230,39,38,133900
231,29,27,91000
232,26,24,73300
233,38,19,148750
234,36,19,117555
235,8,3,69700
236,28,17,81700
237,25,25,114000
238,7,6,63100
239,46,40,77202
240,19,6,96200
241,5,3,69200
242,31,30,122875
243,38,37,102600
244,23,23,108200
245,19,23,84273
246,17,11,90450
247,30,23,91100
248,21,18,101100
249,28,23,128800
250,29,7,204000
251,39,39,109000
252,20,8,102000
253,31,12,132000
254,4,2,77500
255,28,7,116450
256,12,8,83000
257,22,22,140300
258,30,23,74000
259,9,3,73800
260,32,30,92550
261,41,33,88600
262,45,45,107550
263,31,26,121200
264,31,31,126000
265,37,35,99000
266,36,30,134800
267,43,43,143940
268,14,10,104350
269,47,44,89650
270,13,7,103700
271,42,40,143250
272,42,18,194800
273,4,1,73000
274,8,4,74000
275,8,3,78500
276,12,6,93000
277,52,48,107200
278,31,27,163200
279,24,18,107100
280,46,46,100600
281,39,38,136500
282,37,27,103600
283,51,51,57800
284,45,43,155865
285,8,6,88650
286,49,49,81800
287,28,27,115800
288,2,0,85000
289,29,27,150500
290,8,5,74000
291,33,7,174500
292,32,28,168500
293,39,9,183800
294,11,1,104800
295,19,7,107300
296,40,36,97150
297,18,18,126300
298,17,11,148800
299,49,43,72300
300,45,39,70700
301,39,36,88600
302,27,16,127100
303,28,13,170500
304,14,4,105260
305,46,44,144050
306,33,31,111350
307,7,4,74500
308,31,28,122500
309,5,0,74000
310,22,15,166800
311,20,7,92050
312,14,9,108100
313,29,19,94350
314,35,35,100351
315,22,6,146800
316,6,3,84716
317,12,9,71065
318,46,45,67559
319,16,16,134550
320,16,15,135027
321,24,23,104428
322,9,9,95642
323,13,11,126431
324,24,15,161101
325,30,31,162221
326,8,4,84500
327,23,15,124714
328,37,37,151650
329,10,10,99247
330,23,23,134778
331,49,60,192253
332,20,9,116518
333,18,10,105450
334,33,19,145098
335,19,6,104542
336,36,38,151445
337,35,23,98053
338,13,12,145000
339,32,25,128464
340,37,15,137317
341,13,11,106231
342,17,17,124312
343,38,38,114596
344,31,31,162150
345,32,35,150376
346,15,10,107986
347,41,27,142023
348,39,33,128250
349,4,3,80139
350,27,28,144309
351,56,49,186960
352,38,38,93519
353,26,27,142500
354,22,20,138000
355,8,1,83600
356,25,21,145028
357,49,40,88709
358,39,35,107309
359,28,14,109954
360,11,4,78785
361,14,11,121946
362,23,15,109646
363,30,30,138771
364,20,17,81285
365,43,43,205500
366,43,40,101036
367,15,10,115435
368,10,1,108413
369,35,30,131950
370,33,31,134690
371,13,8,78182
372,23,20,110515
373,12,7,109707
374,30,26,136660
375,27,19,103275
376,28,26,103649
377,4,1,74856
378,6,3,77081
379,38,38,150680
380,11,8,104121
381,8,3,75996
382,27,23,172505
383,8,5,86895
384,44,44,105000
385,27,21,125192
386,15,9,114330
387,29,27,139219
388,29,15,109305
389,38,36,119450
390,33,18,186023
391,40,19,166605
392,30,19,151292
393,33,30,103106
394,31,19,150564
395,42,25,101738
396,25,15,95329
397,8,4,81035
